rotten_tomatoes_link,movie_title,genres,directors,original_release_date,runtime,tomatometer_rating,long_review,long_reviews_count,year,genres_list,length_category
m/0814255,Percy Jackson & the Olympians: The Lightning Thief,"Action & Adventure, Comedy, Drama, Science Fiction & Fantasy",Chris Columbus,2010-02-12,119.0,49.0,True,98,2010.0,"['Action & Adventure', ' Comedy', ' Drama', ' Science Fiction & Fantasy']",Short
m/0878835,Please Give,Comedy,Nicole Holofcener,2010-04-30,90.0,87.0,True,107,2010.0,['Comedy'],Short
m/10,10,"Comedy, Romance",Blake Edwards,1979-10-05,122.0,67.0,True,8,1979.0,"['Comedy', ' Romance']",Long
m/1000013-12_angry_men,12 Angry Men (Twelve Angry Men),"Classics, Drama",Sidney Lumet,1957-04-13,95.0,100.0,False,23,1957.0,"['Classics', ' Drama']",Short
m/1000079-20000_leagues_under_the_sea,"20,000 Leagues Under The Sea","Action & Adventure, Drama, Kids & Family",Richard Fleischer,1954-01-01,127.0,89.0,True,13,1954.0,"['Action & Adventure', ' Drama', ' Kids & Family']",Long
m/10000_bc,"10,000 B.C.","Action & Adventure, Classics, Drama",Roland Emmerich,2008-03-07,109.0,8.0,True,86,2008.0,"['Action & Adventure', ' Classics', ' Drama']",Short
m/1000121-39_steps,The 39 Steps,"Action & Adventure, Classics, Mystery & Suspense",Alfred Hitchcock,1935-08-01,80.0,96.0,False,25,1935.0,"['Action & Adventure', ' Classics', ' Mystery & Suspense']",Short
m/1000123-310_to_yuma,3:10 to Yuma,"Classics, Drama, Western",Delmer Daves,1957-08-07,92.0,96.0,False,14,1957.0,"['Classics', ' Drama', ' Western']",Short
m/10002008-charly,Charly (A Heartbeat Away),"Comedy, Drama, Romance",Adam Thomas Anderegg,2002-09-27,103.0,20.0,False,4,2002.0,"['Comedy', ' Drama', ' Romance']",Short
m/1000204-abraham_lincoln,Abraham Lincoln,"Classics, Drama",D.W. Griffith,1930-11-08,97.0,82.0,False,5,1930.0,"['Classics', ' Drama']",Short
m/10002114-dark_water,Dark Water,"Art House & International, Horror, Mystery & Suspense",Hideo Nakata,2002-01-19,100.0,80.0,True,9,2002.0,"['Art House & International', ' Horror', ' Mystery & Suspense']",Short
m/1000224-accused,The Accused,"Drama, Mystery & Suspense",Jonathan Kaplan,1988-10-14,110.0,91.0,False,7,1988.0,"['Drama', ' Mystery & Suspense']",Short
m/10002516-lost_city,The Lost City,Drama,Andy Garcia,2005-09-03,143.0,25.0,False,54,2005.0,['Drama'],Long
m/10002519-breaking_point,The Breaking Point,Drama,Michael Curtiz,1950-10-06,97.0,100.0,False,6,1950.0,['Drama'],Short
m/1000253-adams_rib,Adam's Rib,"Classics, Comedy, Romance",George Cukor,1949-11-18,101.0,96.0,True,11,1949.0,"['Classics', ' Comedy', ' Romance']",Short
m/10002635-bridge_of_san_luis_rey,The Bridge of San Luis Rey,"Art House & International, Drama, Faith & Spirituality",Mary McGuckian,2005-06-10,124.0,4.0,True,14,2005.0,"['Art House & International', ' Drama', ' Faith & Spirituality']",Long
m/10002673-prowler,The Prowler (Cost of Living ),"Drama, Mystery & Suspense",Joseph Losey,1951-12-03,92.0,100.0,False,7,1951.0,"['Drama', ' Mystery & Suspense']",Short
m/10003276-criminal,Criminal,"Drama, Mystery & Suspense","Greggory Jacobs, Gregory Jacobs, Greg Jacobs",2004-09-24,87.0,69.0,False,63,2004.0,"['Drama', ' Mystery & Suspense']",Short
m/1000334-adventures_of_mark_twain,The Adventures of Mark Twain,"Action & Adventure, Animation, Kids & Family",Will Vinton,1985-03-01,86.0,80.0,True,1,1985.0,"['Action & Adventure', ' Animation', ' Kids & Family']",Short
m/10003437-deep_blue,Deep Blue,"Documentary, Special Interest","Andy Byatt, Alastair Fothergill",2005-06-17,90.0,67.0,True,28,2005.0,"['Documentary', ' Special Interest']",Short
m/1000355-adventures_of_robin_hood,The Adventures of Robin Hood,"Action & Adventure, Classics, Romance","Michael Curtiz, William Keighley",1938-05-14,102.0,100.0,True,21,1938.0,"['Action & Adventure', ' Classics', ' Romance']",Short
m/10003876-man_hunt,Man Hunt,"Classics, Drama, Mystery & Suspense",Fritz Lang,1941-01-01,100.0,92.0,False,7,1941.0,"['Classics', ' Drama', ' Mystery & Suspense']",Short
m/10003925-dead_end,Dead End,"Comedy, Horror, Mystery & Suspense","Jean-Baptiste Andrea, Fabrice Canepa, Jean-Bapiste Andrea",2003-09-26,83.0,75.0,False,2,2003.0,"['Comedy', ' Horror', ' Mystery & Suspense']",Short
m/10004050-bandwagon,Bandwagon,Comedy,John Schultz,1997-09-12,103.0,80.0,False,1,1997.0,['Comedy'],Short
m/10004069-whore,Whore,"Art House & International, Drama",María Lidón,2004-04-16,77.0,0.0,True,4,2004.0,"['Art House & International', ' Drama']",Short
m/10004209-tristan_and_isolde,Tristan & Isolde,"Drama, Science Fiction & Fantasy, Romance",Kevin Reynolds,2006-01-13,126.0,31.0,True,78,2006.0,"['Drama', ' Science Fiction & Fantasy', ' Romance']",Long
m/10004226-wild_side,Wild Side,"Art House & International, Drama",Sébastien Lifshitz,2005-06-10,94.0,63.0,True,11,2005.0,"['Art House & International', ' Drama']",Short
m/10004232-10004232-tale_of_two_pizzas,A Tale of Two Pizzas,Comedy,Vincent Sassone,2003-11-07,82.0,38.0,True,5,2003.0,['Comedy'],Short
m/10004288-running_scared,Running Scared,"Action & Adventure, Drama, Mystery & Suspense",Wayne Kramer,2006-02-24,121.0,41.0,True,93,2006.0,"['Action & Adventure', ' Drama', ' Mystery & Suspense']",Long
m/10004352-going_the_distance,Going the Distance,Comedy,Mark Griffiths,2004-08-20,93.0,0.0,False,1,2004.0,['Comedy'],Short
